ISO2,countryname,SP,year,c1_visits,c2_user,c3_pdoDeliver,c3_pdoDeliver_pid,c4_events,c6_eAttendees,c7_policy,c8_allEvent,c9_cEvent,c10_pdoStored,c10_pdoStored_pid,c13_staff,c14_nfunds,c15_cstaff,c16_cfunds,c18_trl8,c18_trl6,c19_pub,c19a_peer
AT,Austria,AUSSDA,2020,14248,938,6335,6335,,,00--06,9,N/A,741,741,11,500000,1,500000,01--03,,,
AT,Austria,AUSSDA,2021,16688,829,7954,7954,3,47,00--06,15,N/A,1166,1166,11,500000,1,,01--03,,133,
AT,Austria,AUSSDA,2022,9211,926,8294,8294,8,50,00--06,25,10--14,1400,1400,12,912654,2,,01--03,,199,
AT,Austria,AUSSDA,2023,9854,4481,7831,7831,6,62,13--24,16,06--09,1527,1527,12,960000,1,,01--03,00--02,269,60--79%
AT,Austria,AUSSDA,2024,15416,5367,14467,14467,9,205,25--36,17,10--14,1567,1567,12.5,1000000,2,,01--03,00--02,303,60--79%
AT,Austria,AUSSDA,2025,17421,6452,18084,18084,18,589,07--12,14,10--14,1600,1600,12.2,221093,1,0,01--03,00--02,41,>=80%
BE,Belgium,SODHA,2020,,48,0,,4,80,00--06,4,00--05,43,43,3.5,70786,,,Not evaluated,,,
BE,Belgium,SODHA,2021,,69,73,73,8,,00--06,8,N/A,75,75,4.5,153000,0.5,,Not evaluated,,,
BE,Belgium,SODHA,2022,,104,88,88,5,,00--06,13,N/A,88,88,5,80000,0.5,,Not evaluated,,,
BE,Belgium,SODHA,2023,,121,5392,5392,1,,00--06,2,00--05,94,94,3.2,60000,0.2,,01--03,00--02,,Don't know
BE,Belgium,SODHA,2024,,171,8425,8425,2,2,00--06,2,00--05,104,104,1.7,50000,1,,01--03,00--02,,Don't know
BE,Belgium,SODHA,2025,,269,29809,29809,1,80,00--06,2,00--05,129,129,1.7,0,1,0,Not evaluated,Not evaluated,,Don't know
CH,Switzerland,FORS,2020,55133,7700,2577,2577,5,130,00--06,65,00--05,748,748,49.6,6631924,0.4,,0,,,
CH,Switzerland,FORS,2021,59914,8800,2413,2413,10,350,00--06,146,10--14,790,790,43.3,7099892,0.5,,0,,742,
CH,Switzerland,FORS,2022,84736,3400,2085,2085,17,510,00--06,154,10--14,841,841,52.1,8397205,0.4,,0,,897,
CH,Switzerland,FORS,2023,79709,5038,2322,2322,17,320,07--12,142,10--14,940,940,49.6,8395134,0.5,,>=10,>=13,726,60--79%
CH,Switzerland,FORS,2024,68078,6800,2213,2213,19,276,07--12,105,10--14,1100,1100,53.4,8605536,0.5,,>=10,>=13,774,60--79%
CH,Switzerland,FORS,2025,67970,9003,2420,2420,11,282,07--12,113,06--09,1170,1170,48.8,8479053,0.5,0,>=10,>=13,667,>=80%
CZ,Czecha,CSDA,2020,,3780,37,37,6,290,07--12,10,00--05,964,964,9.79,385424,0.33,15522,01--03,,,
CZ,Czecha,CSDA,2021,40000,4207,,,6,300,00--06,8,00--05,1020,1020,9.52,275320,6.58,234878,0,,33,
CZ,Czecha,CSDA,2022,50000,4585,,,7,274,00--06,11,00--05,1078,1078,10.5,285785.375,6.89,243563.6563,Not evaluated,,25,
CZ,Czecha,CSDA,2023,141161,4912,,,1,35,00--06,2,00--05,1122,1122,10.2,231892,4.2,177668,Not evaluated,Not evaluated,32,40--59%
CZ,Czecha,CSDA,2024,294541,570,26500,26500,2,60,00--06,2,00--05,1184,1184,10.5,230825,4.8,192345,Not evaluated,Not evaluated,30,40--59%
CZ,Czecha,CSDA,2025,120637,905,43000,43000,2,40,00--06,10,10--14,1251,1251,10.4,223514,4.3,175540,Not evaluated,Not evaluated,32,60--79%
DE,Germany,GESIS,2020,2211406,26475,71519,71519,4,78,00--06,42,N/A,6622,6622,54,3593038,3,440000,Not evaluated,,,
DE,Germany,GESIS,2021,2457643,40198,66803,66803,51,1070,00--06,96,N/A,6697,6697,56.42,3538944,2.6,440000,01--03,,1956,
DE,Germany,GESIS,2022,2214254,62181.5,99100,99100,69,1008,07--12,346,N/A,6905,6905,312.18,42281648,2.3,440000,01--03,,2164,
DE,Germany,GESIS,2023,2646251,84165,80158,80158,62,913,N/A,103,N/A,7097,7097,325.7,29869000,,,Not evaluated,Not evaluated,1111,60--79%
DE,Germany,GESIS,2024,2267459,110730,78734,78734,60,900,N/A,93,N/A,7373,7373,341.5,30027000,,,Not evaluated,Not evaluated,1121,60--79%
DE,Germany,GESIS,2025,3116784,139714,95827,95827,58,861,13--24,14,06--09,7632,7632,349.9,30991000,0,0,Not evaluated,Not evaluated,1198,60--79%
DK,Denmark,DNA,2020,,,,,4,30,00--06,4,00--05,3084,3084,183.79,1824632,3,,Not evaluated,,,
DK,Denmark,DNA,2021,1183795,,19993,19993,15,600,00--06,35,00--05,3084,3084,209,21701266,5,,Not evaluated,,,
EL,Greece,SoDaNet,2020,1560,100,,,3,200,00--06,10,00--05,85,85,6,70000,3,20000,0,,,
EL,Greece,SoDaNet,2021,23600,93,637,637,5,150,00--06,12,06--09,637,637,9,100000,3,,0,,10,
EL,Greece,SoDaNet,2022,27658,53,690,690,6,150,00--06,17,06--09,690,690,6,250000,3,,Not evaluated,,18,
EL,Greece,SoDaNet,2023,1303,196,688,688,10,80,00--06,13,00--05,697,697,4.5,89000,2,,Not evaluated,Not evaluated,2,Don't know
EL,Greece,SoDaNet,2024,1645,243,10624,10624,14,105,00--06,19,00--05,750,750,4.5,105000,2.5,,Not evaluated,Not evaluated,4,Don't know
